Topic 00		10200.58398597864     Discussions about watching the match
	fun	122.1680371769047
	watch	115.0598684378846
	famy	111.4541567943809
	stay	106.3725413748341
	lanadelcunt	101.98902484212901
	nfcchampionship	97.75650009053848
	video	86.64573345103213
	bluefriday	79.91926921724395
	awesom	66.40133158191958
	post	65.8103841084656


Topic 26		9300.114870226851
	moneylynch	703.2165100882419
	lynch	630.910744794963
	marshawn	580.1696603475718
	fin	410.7418147978152
	beast	341.84798802663295
	skittl	318.460830016551
	med	316.0362564465521
	sbmediaday	264.2514931258397
	mod	232.45323151194128
	interview	132.53622238091722
	act	121.80531753005002
	talk	116.29214303154846
	press	115.81077346256598
	awesom	104.10988301649482
	conf	99.78981646042345
	quest	94.87405038597319
	grab	92.46065270374982
	feel	89.38069816478676
	answ	89.26244750950389
	marshawnlynch	80.43184684798779


Topic 27		8981.973931075567
	matthew	287.66095230747567
	pass	279.1462520823494
	chris	274.15725696769545
	catch	265.34622250544186
	dougbaldwinjr	235.05718394030714
	kears	228.19827217775907
	wilson	203.59113477092143
	touchdown	199.1017496418943
	baldwin	154.09693015231346
	ryan	152.67113782599594
	doug	129.4956594642725
	jon	123.22050808248513
	end	119.29534644864881
	kick	107.4727287831623
	receiv	97.39266354529028
	crowdaw	96.94660096032538
	zon	92.75657056647873
	saveforlatercom	91.94423553157117
	mvp	89.0405551312461
	onsid	77.86174269763993


Topic 28		7814.594605353093
	sherm	521.9010409599332
	lob	459.8913818073571
	richard	271.7881947805491
	boom	184.9249423447485
	leg	170.52997451287857
	man	163.63470557943634
	earl	137.58030021033733
	thoma	135.78552356836138
	boy	134.7840852508616
	kam	118.54692272681206
	fuck	111.04750117986225
	jersey	104.2939508782481
	chancel	99.92280024502188
	pick	94.29501580537232
	lan	85.39146561445284
	interceiv	74.44144290817187
	hit	70.56059804470053
	nfcchampionship	70.07538401372925
	styl	69.74841933670862
	cov	69.28885623628327


Topic 29		9884.414678606365  | Another player and his emotions
	wilson	761.4626821577706
	russel	754.3528976257785
	god	463.97688660613323
	thank	265.2261073948289
	amp	248.0494888231973
	man	229.252017340042
	bless	206.93780913534852
	tru	180.8999600003314
	tear	152.8236604090431
	giv	130.0309802174112
	com	128.91377769746074
	russ	114.08824665568949
	lead	111.78216867957673
	class	105.06472116200773
	fai	100.0618062261118
	cry	97.78319614735555
	amaz	95.26084394847055
	believ	92.01674755029927
	respect	79.82316254539099
	act	79.04025715457419


